"ID","ActionType","Classification","StartTime","LastUpdatedTime","EndTime","ActionRequiredByDate","MessageType","PostIncidentDocumentURL","Severity","Title","Category","ExternalLink","IsMajorChange","AppliesTo","MilestoneDate","Milestone","BlogLink","HelpLink"
"MC248392","Awareness","Advisory","02-Apr-2021 19:13","04-May-2021 20:44","31-Jan-2022 08:00",,"MessageCenter",,"Normal","(Updated) Spoof intelligence management enhancements for policy, insights and report","Plan For Change","","True","All","02-Apr-2021 19:13","Announcement","",""
"MC248201","Awareness","Advisory","01-Apr-2021 23:35","17-Aug-2021 20:06","30-Nov-2021 07:00",,"MessageCenter",,"Normal","(Updated) Quick Create – Easily Create Power BI Reports from Lists","Plan For Change","","True","All","01-Apr-2021 23:35","Announcement","",""
"MC247827","Awareness","Advisory","30-Mar-2021 23:00","12-Oct-2021 19:41","31-Jan-2022 07:00",,"MessageCenter",,"Normal","(Updated) Apply granular conditional access policies to SharePoint Online sites via sensitivity labels (preview)","Stay Informed","","False",,"30-Mar-2021 23:00","","",""
"MC247825","Awareness","Advisory","30-Mar-2021 22:55","30-Mar-2021 22:56","31-Jan-2022 08:00",,"MessageCenter",,"Normal","Teams for your personal life banners","Plan For Change","","True","All","30-Mar-2021 22:55","Announcement","",""
"MC247656","Awareness","Advisory","30-Mar-2021 00:06","17-Aug-2021 20:25","17-Dec-2021 07:00",,"MessageCenter",,"Normal","(Updated) PowerPoint Live: Present to Teams from PowerPoint Web App","Stay Informed","","False",,"30-Mar-2021 00:06","","",""
"MC246270","Awareness","Advisory","25-Mar-2021 00:27","25-Mar-2021 00:28","31-Oct-2021 07:00",,"MessageCenter",,"Normal","New release cycles and options for Microsoft Edge","Stay Informed","","False",,"25-Mar-2021 00:27","","https://blogs.windows.com/msedgedev/2021/03/12/new-release-cycles-microsoft-edge-extended-stable/",""
"MC245855","Awareness","Advisory","23-Mar-2021 01:23","23-Mar-2021 01:23","31-Jan-2022 08:00",,"MessageCenter",,"Normal","Update on UserVoice sites","Stay Informed","https://support.microsoft.com/topic/uservoice-pages-430e1a78-e016-472a-a10f-dc2a3df3450a","False",,"23-Mar-2021 01:23","","",""
"MC243945","Awareness","Advisory","10-Mar-2021 00:29","30-Jul-2021 09:48","31-Oct-2021 07:00",,"MessageCenter",,"Normal","(Updated) SharePoint Events web part will display event images","Stay Informed","","False",,"10-Mar-2021 00:29","","",""
"MC242581","Awareness","Advisory","03-Mar-2021 00:14","03-Mar-2021 00:15","17-Feb-2022 08:00",,"MessageCenter",,"Normal","New bank accounts are no longer supported in US/France/Italy/Spain/Belgium/Portugal/Luxembourg","Stay Informed","https://docs.microsoft.com/microsoft-365/commerce/billing-and-payments/manage-payment-methods","True","All","03-Mar-2021 00:14","Announcement","",""
"MC242335","Action","Advisory","02-Mar-2021 01:03","02-Mar-2021 01:04","31-Jan-2022 08:00","31-Jul-2021 07:00","MessageCenter",,"Normal","Reminder: Skype for Business Online retires July 31, 2021","Plan For Change","https://docs.microsoft.com/microsoftteams/skype-for-business-online-retirement","True","All","02-Mar-2021 01:03","Announcement","https://techcommunity.microsoft.com/t5/microsoft-teams-blog/skype-for-business-online-will-retire-in-12-months-plan-for-a/ba-p/1554531",""
"MC240613","Awareness","Advisory","20-Feb-2021 00:16","10-Aug-2021 20:12","31-Oct-2021 07:00",,"MessageCenter",,"Normal","(Updated) Feature Update: Modern comments in Word (Mac)","Plan For Change","","True","All","20-Feb-2021 00:16","Announcement","",""
"MC237741","Awareness","Advisory","04-Feb-2021 19:03","04-Feb-2021 19:03","30-Jun-2022 07:00",,"MessageCenter",,"Normal","Basic Authentication and Exchange Online – February 2021 Update","Plan For Change","https://techcommunity.microsoft.com/t5/exchange-team-blog/basic-authentication-and-exchange-online-february-2021-update/ba-p/2111904","False",,"04-Feb-2021 19:03","","",""
"MC237349","Awareness","Advisory","01-Feb-2021 19:23","01-Feb-2021 19:24","31-Jan-2022 08:00","31-Jul-2021 07:00","MessageCenter",,"Normal","Service reminder: Skype for Business Online retires in 6 months","Plan For Change","https://docs.microsoft.com/microsoftteams/skype-for-business-online-retirement","False",,"01-Feb-2021 19:23","","https://techcommunity.microsoft.com/t5/microsoft-teams-blog/skype-for-business-online-will-retire-in-12-months-plan-for-a/ba-p/1554531",""
"MC235180","Awareness","Advisory","20-Jan-2021 01:31","03-Aug-2021 20:22","15-Oct-2021 07:00",,"MessageCenter",,"Normal","(Updated) Teams desktop app for Mac: Include computer sound in a meeting","Stay Informed","","False",,"20-Jan-2021 01:31","","",""
"MC229143","Action","Advisory","09-Dec-2020 19:58","10-Dec-2020 18:10","02-Jan-2022 08:00","01-Nov-2021 07:00","MessageCenter",,"Normal","Update to Microsoft 365 and Outlook for Windows connectivity","Plan For Change","","True","All","09-Dec-2020 19:58","Announcement","",""
"MC284624","Awareness","Advisory","12-Sept-2021 17:58","13-Oct-2021 23:08","15-Nov-2021 08:00",,"MessageCenter",,"Normal","(Updated) Excel Power View Retirement","Plan For Change","https://support.microsoft.com/office/roadmap-for-power-view-in-excel-c1f0d0f7-adef-4f03-ae35-46d83294e96b","True",,,,"","https://support.microsoft.com/office/when-do-i-get-the-newest-features-for-microsoft-365-da36192c-58b9-4bc9-8d51-bb6eed468516"
"MC284828","Awareness","Advisory","13-Sept-2021 23:34","14-Sept-2021 00:07","04-Nov-2021 07:00",,"MessageCenter",,"Normal","Announcing general availability of DLP data sets in Microsoft 365 Activity explorer","Stay Informed","https://docs.microsoft.com/microsoft-365/compliance/data-classification-activity-explorer?view=o365-worldwide","False",,,,"",""
"MC285021","Awareness","Advisory","14-Sept-2021 23:35","14-Sept-2021 23:36","31-Dec-2021 08:00",,"MessageCenter",,"Normal","SharePoint Navigation Switcher","Stay Informed","","False",,,,"",""
"MC285022","Awareness","Advisory","14-Sept-2021 23:36","14-Sept-2021 23:37","29-Nov-2021 08:00",,"MessageCenter",,"Normal","Restrict Yammer Community Posting","Stay Informed","","False",,,,"",""
"MC285023","Awareness","Advisory","14-Sept-2021 23:37","14-Sept-2021 23:39","31-Oct-2021 07:00",,"MessageCenter",,"Normal","Co-authoring on Microsoft Information Protection encrypted documents in Office Desktop is Generally Available","Stay Informed","https://docs.microsoft.com/microsoft-365/compliance/sensitivity-labels-coauthoring?view=o365-worldwide","False",,,,"https://aka.ms/mipcoauthga",""
"MC285601","Awareness","Advisory","17-Sept-2021 00:17","17-Sept-2021 00:17","30-Nov-2021 08:00",,"MessageCenter",,"Normal","New SharePoint hub to hub associations","Stay Informed","","False",,,,"",""
"MC285602","Awareness","Advisory","17-Sept-2021 00:17","12-Oct-2021 19:55","31-Dec-2021 07:00",,"MessageCenter",,"Normal","(Updated) OneDrive: New Command Bar","Stay Informed","","False",,,,"",""
"MC285604","Awareness","Advisory","17-Sept-2021 00:19","17-Sept-2021 00:23","07-Nov-2021 07:00",,"MessageCenter",,"Normal","Records Management: General Availability of Multi-stage disposition review","Stay Informed","https://docs.microsoft.com/microsoft-365/compliance/disposition?view=o365-worldwide","False",,,,"https://techcommunity.microsoft.com/t5/security-compliance-and-identity/announcing-multi-stage-disposition-in-microsoft-records/ba-p/2361849",""
"MC285886","Awareness","Advisory","18-Sept-2021 00:13","18-Sept-2021 00:13","30-Nov-2021 08:00",,"MessageCenter",,"Normal","Reply to specific chat message in Teams Desktop","Stay Informed","","False",,,,"",""
"MC286340","Awareness","Advisory","20-Sept-2021 23:37","20-Sept-2021 23:37","15-Nov-2021 08:00",,"MessageCenter",,"Normal","Retiring the advanced hunting table named ‘DeviceTvmSoftwareInventoryVulnerabilities’","Plan For Change","","True",,,,"https://techcommunity.microsoft.com/t5/microsoft-defender-for-endpoint/advanced-hunting-updates-to-threat-and-vulnerability-management/ba-p/2162584",""
"MC285906","Awareness","Advisory","18-Sept-2021 00:24","18-Sept-2021 00:25","30-Nov-2021 08:00",,"MessageCenter",,"Normal","Anti-malware policy : Common attachment filter : Additional file types block by default","Plan For Change","","True",,,,"",""
"MC285910","Awareness","Advisory","18-Sept-2021 00:29","18-Sept-2021 00:33","27-Nov-2021 08:00",,"MessageCenter",,"Normal","General availability of AIP client and scanner audit logs in Microsoft 365 Audit and Activity explorer","Stay Informed","https://docs.microsoft.com/microsoft-365/compliance/data-classification-activity-explorer?view=o365-worldwide","False",,,,"",""
"MC285913","Awareness","Advisory","18-Sept-2021 00:46","18-Sept-2021 17:56","28-Nov-2021 08:00",,"MessageCenter",,"Normal","Microsoft 365 compliance center: New and updated sensitive information types (SITs) for compliance solutions","Stay Informed","https://docs.microsoft.com/microsoft-365/compliance/sensitive-information-type-entity-definitions?view=o365-worldwide","False",,,,"",""
"MC286337","Awareness","Advisory","20-Sept-2021 23:34","20-Sept-2021 23:35","15-Nov-2021 08:00",,"MessageCenter",,"Normal","Send Feedback on Image Tags","Stay Informed","","False",,,,"","https://support.microsoft.com/office/work-with-image-tags-in-a-sharepoint-library-0fd368ae-56c6-478b-99a0-c06be92c1863?preview=true"
"MC286339","Awareness","Advisory","20-Sept-2021 23:36","20-Sept-2021 23:36","28-Feb-2022 08:00",,"MessageCenter",,"Normal","Yammer Topics APIs changes with Viva Topics","Plan For Change","","False",,,,"https://techcommunity.microsoft.com/t5/yammer-blog/yammer-topics-api-changes/ba-p/2690354",""
"MC284365","Awareness","Advisory","10-Sept-2021 22:41","10-Sept-2021 22:43","30-Oct-2021 07:00",,"MessageCenter",,"Normal","Microsoft Teams Public Preview indicator “P” on avatar","Stay Informed","","False",,,,"",""
"MC286342","Awareness","Advisory","20-Sept-2021 23:39","20-Sept-2021 23:39","31-Dec-2021 08:00",,"MessageCenter",,"Normal","SPO View in File Explorer available in Microsoft Edge","Stay Informed","","False",,,,"","https://support.microsoft.com/office/view-and-open-sharepoint-files-with-file-explorer-66b574bb-08b4-46b6-a6a0-435fd98194cc"
"MC286561","Awareness","Advisory","22-Sept-2021 00:13","22-Sept-2021 00:13","05-Nov-2021 07:00",,"MessageCenter",,"Normal","1:1 Calling in Safari","Stay Informed","","False",,,,"",""
"MC285905","Awareness","Advisory","18-Sept-2021 00:22","18-Sept-2021 00:24","31-Dec-2021 08:00",,"MessageCenter",,"Normal","Join meetings anonymously from your Teams desktop app (across clouds)","Plan For Change","","True",,,,"",""
"MC284359","Awareness","Advisory","10-Sept-2021 21:55","05-Oct-2021 19:53","31-Dec-2021 08:00",,"MessageCenter",,"Normal","(Updated) Preview: New named entities SITs for M365 compliance center and enhanced unified policy authoring templates","Stay Informed","","False",,,,"",""
"MC283607","Awareness","Advisory","08-Sept-2021 00:38","08-Sept-2021 00:38","15-Dec-2021 08:00",,"MessageCenter",,"Normal","Microsoft Forms: New Mobile Friendly Experience for Form Creation/Analysis","Stay Informed","","False",,,,"",""
"MC284259","Awareness","Advisory","10-Sept-2021 04:52","10-Sept-2021 04:54","31-Jan-2022 08:00",,"MessageCenter",,"Normal","Microsoft Forms new App ""Polls"" in Teams","Plan For Change","","True",,,,"",""
"MC281936","Awareness","Advisory","31-Aug-2021 01:35","31-Aug-2021 01:35","13-Nov-2021 08:00",,"MessageCenter",,"Normal","Sensitivity Labels for Teams Created from Templates","Stay Informed","https://docs.microsoft.com/MicrosoftTeams/sensitivity-labels","False",,,,"","https://docs.microsoft.com/MicrosoftTeams/sensitivity-labels"
"MC282167","Awareness","Advisory","31-Aug-2021 22:39","31-Aug-2021 22:39","17-Oct-2021 07:00",,"MessageCenter",,"Normal","Introducing 2x2 gallery view for Teams meetings viewed in Safari browser","Stay Informed","","False",,,,"",""
"MC282180","Awareness","Advisory","31-Aug-2021 23:00","31-Aug-2021 23:00","31-Oct-2021 07:00",,"MessageCenter",,"Normal","Forms word cloud poll for Teams meeting","Stay Informed","","False",,,,"",""
"MC282480","Awareness","Advisory","01-Sept-2021 21:51","23-Sept-2021 19:56","30-Nov-2021 07:00",,"MessageCenter",,"Normal","(Updated) SharePoint channel sites - Temporary permissions editing","Stay Informed","https://docs.microsoft.com/sharepoint/teams-connected-sites","False",,,,"",""
"MC282485","Awareness","Advisory","01-Sept-2021 21:54","01-Sept-2021 21:54","31-Oct-2021 07:00",,"MessageCenter",,"Normal","New automation features available for Microsoft Intune setup guide","Stay Informed","https://admin.microsoft.com/","False",,,,"",""
"MC282545","Awareness","Advisory","02-Sept-2021 00:37","02-Sept-2021 00:38","31-Dec-2021 08:00",,"MessageCenter",,"Normal","Insights in Microsoft 365 to become part of Microsoft Viva","Plan For Change","","True",,,,"",""
"MC282781","Opportunity","Advisory","02-Sept-2021 23:43","02-Sept-2021 23:44","27-Feb-2022 08:00",,"MessageCenter",,"Normal","Microsoft Teams: Real time data for Teams Meetings in Teams Admin Center (Preview)","Stay Informed","","False",,,,"",""
"MC282783","Awareness","Advisory","02-Sept-2021 23:45","02-Sept-2021 23:46","26-Dec-2021 08:00",,"MessageCenter",,"Normal","Microsoft Forms: Manage and organize your forms and quizzes now","Stay Informed","","False",,,,"",""
"MC282784","Awareness","Advisory","02-Sept-2021 23:46","02-Sept-2021 23:46","02-Nov-2021 07:00",,"MessageCenter",,"Normal","Play My Emails: Spotlight","Plan For Change","","True",,,,"",""
"MC282989","Awareness","Advisory","03-Sept-2021 23:45","07-Sept-2021 22:57","30-Nov-2021 08:00",,"MessageCenter",,"Normal","(Updated) Microsoft Teams: Enable Teams users to purchase app subscriptions through the Teams app store","Plan For Change","","True",,,,"",""
"MC282992","Awareness","Advisory","03-Sept-2021 23:47","03-Sept-2021 23:48","19-Dec-2021 08:00",,"MessageCenter",,"Normal","Updated timing changes: Whiteboard on OneDrive for Business","Plan For Change","https://go.microsoft.com/fwlink/?linkid=2158749","False",,,,"",""
"MC283568","Awareness","Advisory","07-Sept-2021 23:53","07-Sept-2021 23:57","20-Nov-2021 08:00",,"MessageCenter",,"Normal","Allow users who aren’t admins to install language accessory packs","Stay Informed","https://go.microsoft.com/fwlink/p/?linkid=2161939","False",,,,"",""
"MC283569","Awareness","Advisory","07-Sept-2021 23:58","07-Sept-2021 23:58","31-Oct-2021 07:00",,"MessageCenter",,"Normal","New Feature: Improvements to the Text web part for SharePoint pages and news","Plan For Change","","False",,,,"","https://support.microsoft.com/office/add-text-and-tables-to-your-page-with-the-text-web-part-729c0aa1-bc0d-41e3-9cde-c60533f2c801"
"MC286563","Awareness","Advisory","22-Sept-2021 00:17","22-Sept-2021 00:17","06-Nov-2021 07:00",,"MessageCenter",,"Normal","Operator Connect for Microsoft Teams moving to general availability","Stay Informed","https://docs.microsoft.com/microsoftteams/operator-connect-plan","False",,,,"https://techcommunity.microsoft.com/t5/microsoft-teams-blog/introducing-operator-connect-and-more-teams-calling-updates/ba-p/2176398",""
"MC283612","Awareness","Advisory","08-Sept-2021 00:46","08-Sept-2021 00:46","29-Nov-2021 08:00",,"MessageCenter",,"Normal","Direct app purchases and invoice billing support in Teams Admin Center","Stay Informed","","False",,,,"",""
"MC283865","Action","Advisory","08-Sept-2021 23:16","08-Sept-2021 23:17","31-Oct-2021 07:00","14-Sept-2021 07:00","MessageCenter",,"Normal","Office add-in dialog API hardening update","Prevent or Fix Issues","","False",,,,"https://developer.microsoft.com/en-us/office/blogs/action-required-update-your-office-add-in-dialog-for-cross-domain-communication/?_cache_bypass=1630098590",""
"MC283874","Awareness","Advisory","08-Sept-2021 23:22","09-Sept-2021 14:56","31-Oct-2022 07:00",,"MessageCenter",,"Normal","Classic Exchange Admin Center (EAC) Retirement Announcement","Plan For Change","","True",,,,"https://techcommunity.microsoft.com/t5/exchange-team-blog/deprecation-of-the-classic-exchange-admin-center-in-ww-service/ba-p/2736358",""
"MC283912","Action","Advisory","09-Sept-2021 00:07","27-Sept-2021 15:08","30-Apr-2022 08:00","01-Mar-2022 08:00","MessageCenter",,"Normal","(Updated) Yammer Public Links API Changes","Plan For Change","","True",,,,"",""
"MC284081","Awareness","Advisory","09-Sept-2021 15:08","09-Sept-2021 15:09","31-Dec-2021 08:00",,"MessageCenter",,"Normal","Viva Connections (Public preview) is rolling out","Stay Informed","","False",,,,"",""
"MC284358","Awareness","Advisory","10-Sept-2021 21:52","10-Sept-2021 21:54","30-Nov-2021 08:00",,"MessageCenter",,"Normal","Chat Delete Capabilities within Supervised Chats","Stay Informed","","False",,,,"",""
"MC286779","Awareness","Advisory","23-Sept-2021 00:07","28-Sept-2021 20:17","01-Nov-2021 07:00",,"MessageCenter",,"Normal","(Updated) Image Utility Edit Control","Stay Informed","https://techcommunity.microsoft.com/t5/microsoft-onedrive-blog/onedrive-s-new-photo-editing-features-and-more/ba-p/2235721","False",,,,"",""
"MC288047","Awareness","Advisory","29-Sept-2021 00:01","29-Sept-2021 00:03","22-Oct-2021 07:00",,"MessageCenter",,"Normal","Planned Maintenance: Skype for Business Capacity Upgrade","Stay Informed","","False",,,,"",""
"MC286781","Awareness","Advisory","23-Sept-2021 00:09","23-Sept-2021 00:09","01-Nov-2021 07:00",,"MessageCenter",,"Normal","Restarting a Teams Live Event","Stay Informed","","False",,,,"",""
"MC289682","Awareness","Advisory","06-Oct-2021 20:15","06-Oct-2021 20:15","16-Jan-2022 08:00",,"MessageCenter",,"Normal","Planner tasks storage location update","Stay Informed","","False",,,,"",""
"MC289683","Awareness","Advisory","06-Oct-2021 20:15","06-Oct-2021 20:16","22-Nov-2021 08:00",,"MessageCenter",,"Normal","Modern site-level term store","Stay Informed","","False",,,,"",""
"MC289686","Action","Advisory","06-Oct-2021 20:16","06-Oct-2021 20:21","02-May-2022 07:00","05-Nov-2021 07:00","MessageCenter",,"Normal","Change to mailbox forwarding behavior coming to Exchange Online","Plan For Change","https://techcommunity.microsoft.com/t5/exchange-team-blog/sender-rewriting-scheme-upcoming-changes/ba-p/2632829","True",,,,"https://techcommunity.microsoft.com/t5/exchange-team-blog/sender-rewriting-scheme-upcoming-changes/ba-p/2632829",""
"MC289687","Awareness","Advisory","06-Oct-2021 20:21","06-Oct-2021 20:21","07-Jan-2022 08:00",,"MessageCenter",,"Normal","We’re making changes to LinkedIn integration with the Microsoft 365 people card","Plan For Change","https://docs.microsoft.com/azure/active-directory/enterprise-users/linkedin-integration","True",,,,"",""
