"AffectedWorkloadDisplayNames","AffectedWorkloadNames","Status","Workload","WorkloadDisplayName","ActionType","AdditionalDetails","AffectedTenantCount","AffectedUserCount","Classification","EndTime","Feature","FeatureDisplayName","UserFunctionalImpact","Id","ImpactDescription","LastUpdatedTime","MessageType","Messages","PostIncidentDocumentUrl","Severity","StartTime","TenantParams","Title"
"System.Object[]","System.Object[]","Service restored","cloudappsecurity","Cloud App Security",,"System.Object[]","0",,"Advisory","04/05/2021 15:45:00","Microsoft Cloud App Security","Microsoft Cloud App Security","","CS254208","Users may have been unable to receive email notifications from Cloud App Security.","04/05/2021 16:49:09","Incident","System.Object[]","","","30/04/2021 11:08:00","System.Object[]","Some users may not be receiving email notifications from Cloud App Security"
"System.Object[]","System.Object[]","Service restored","cloudappsecurity","Cloud App Security",,"System.Object[]","0",,"Advisory","08/10/2021 10:32:00","Cloud App Security","Cloud App Security","","CS290079","Users may have experienced issues when signing in to specific Cloud Apps within Microsoft Cloud App Security.","08/10/2021 12:49:58","Incident","System.Object[]",,"Sev2","07/10/2021 23:00:00","System.Object[]","Signing in issues"
"System.Object[]","System.Object[]","Service restored","Microsoft365Defender","Microsoft 365 Defender",,"System.Object[]","0",,"Advisory","13/09/2021 11:40:00","Microsoft Defender for Endpoint","Microsoft Defender for Endpoint","","DZ284692","Users were unable to export a devices timeline within M365Defender.","17/09/2021 02:23:29","Incident","System.Object[]",,"Sev2","13/09/2021 07:00:00","System.Object[]","Users were unable to export a devices timeline within M365Defender"
"System.Object[]","System.Object[]","Service restored","Microsoft365Defender","Microsoft 365 Defender",,"System.Object[]","0",,"Advisory","17/09/2021 20:00:00","Microsoft Defender for Endpoint","Microsoft Defender for Endpoint","","DZ285770","Admins may have been missing alerts and events when using Microsoft Defender for Endpoint.","19/09/2021 07:49:17","Incident","System.Object[]",,"Sev2","13/09/2021 06:00:00","System.Object[]","Admins may have been missing alerts and events when using Microsoft Defender for Endpoint"
"System.Object[]","System.Object[]","Service restored","Microsoft365Defender","Microsoft 365 Defender",,"System.Object[]","0",,"Advisory","12/10/2021 22:09:46","Microsoft Defender for Endpoint","Microsoft Defender for Endpoint","","DZ285882","Users' Microsoft Office, Adobe Reader, and other applications may not have responded under specific circumstances.","12/10/2021 22:43:18","Incident","System.Object[]",,"Sev2","16/09/2021 22:00:00","System.Object[]","Users' Microsoft Office, Adobe Reader, and other applications might stop responding under specific circumstances"
"System.Object[]","System.Object[]","Service restored","Microsoft365Defender","Microsoft 365 Defender",,"System.Object[]","0",,"Advisory","24/09/2021 21:00:00","Microsoft Defender for Endpoint","Microsoft Defender for Endpoint","","DZ287294","Admins may have seen invalid false positives in threat and vulnerability management via Microsoft Defender for Endpoint","24/09/2021 22:46:05","Incident","System.Object[]",,"Sev2","23/09/2021 21:00:00","System.Object[]","Admins may see invalid false positives in threat and vulnerability management via Microsoft Defender for Endpoint"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","19/06/2021 01:00:00","Provisioning","Management and Provisioning","","EX248435","Admins may have been unable to submit items older than seven days in the Submissions portal in the SCC.","21/06/2021 19:45:23","Incident","System.Object[]","","","02/04/2021 19:00:00","System.Object[]","Admins can't submit items older than seven days in the Submissions portal in the Security & Compliance Center (SCC)"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","31/05/2021 02:37:00","Networking Issues","Networking Issues","","EX249095","Users were unable to share some calendars with other users via all Exchange Online connection methods.","01/06/2021 10:45:08","Incident","System.Object[]","","","03/01/2021 23:47:00","System.Object[]","Users were unable to share some calendars with other users"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","22/04/2021 15:45:00","Access","E-Mail and calendar access","","EX250788","Users may have been unable to open IRM messages via any Exchange Online connection method.","23/04/2021 21:48:39","Incident","System.Object[]","","","24/03/2021 15:00:00","System.Object[]","Users are unable to open Information Rights Management (IRM) messages via any Exchange Online connection method"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","28/04/2021 19:00:00","Provisioning","Management and Provisioning","","EX250992","Admins were unable to migrate mailboxes from Exchange 2010 to Exchange Online.","28/04/2021 21:12:08","Incident","System.Object[]","","","07/04/2021 09:17:00","System.Object[]","Admins are unable to migrate mailboxes from Exchange 2010 to Exchange Online"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","19/04/2021 22:06:38","Access","E-Mail and calendar access","","EX251482","Admins were unable to export or purge mailboxes due to unexpected limitations in the SCC.","19/04/2021 22:06:38","Incident","System.Object[]","","","08/04/2021 00:00:00","System.Object[]","Admins unable to export or purge mailboxes due to unexpected limitations in the Security and Compliance Center (SCC)"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","20/04/2021 23:30:00","Signin","Sign-in","","EX251697","Users were unable to launch Outlook mobile for iOS due to crashes on sign-in.","21/04/2021 01:27:34","Incident","System.Object[]","","","20/04/2021 08:00:00","System.Object[]","Users are unable to launch Outlook mobile for iOS due to crashes on sign-in"
"System.Object[]","System.Object[]","Post-incident report published","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","22/04/2021 16:30:00","Delivery","E-Mail timely delivery","","EX252124","Users may have experienced delays or been unable to send or receive email messages within the Exchange Online service.","12/05/2021 00:11:32","Incident","System.Object[]","","","22/04/2021 13:00:00","System.Object[]","Some users are unable to send or receive email messages within Exchange Online"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","28/04/2021 05:00:00","Access","E-Mail and calendar access","","EX252201","Users on Outlook on the web were noticing that signatures in email messages weren't showing up as expected.","28/04/2021 18:29:59","Incident","System.Object[]","","","15/04/2021 01:10:00","System.Object[]","Users on Outlook on the web are noticing that signatures in email messages aren't showing up"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","10/05/2021 15:00:00","Delivery","E-Mail timely delivery","","EX255041","Users were unable to reply to email via Outlook on the web.","11/05/2021 19:44:10","Incident","System.Object[]","","","06/05/2021 17:00:00","System.Object[]","Some users are unable to reply to email via Outlook on the web"
"System.Object[]","System.Object[]","Post-incident report published","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","12/05/2021 02:00:00","Access","E-Mail and calendar access","","EX255650","Users may have been unable to view email message content within Outlook.","19/05/2021 09:36:32","Incident","System.Object[]","","","11/05/2021 18:24:00","System.Object[]","Issue affecting viewing email content in Outlook"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","16/05/2021 20:20:00","Access","E-Mail and calendar access","","EX256425","Users may have noticed that some icon links in Outlook on the web for mail, calendar and other services weren't working.","18/05/2021 00:28:10","Incident","System.Object[]","","","10/05/2021 15:00:00","System.Object[]","Users notice that some icon links in Outlook on the web for mail, calendar, To Do, and other services aren't working"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","23/05/2021 19:14:00","Provisioning","Management and Provisioning","","EX257883","Admins may have been unable to access the Exchange admin center.","23/05/2021 19:33:22","Incident","System.Object[]","","","23/05/2021 12:00:00","System.Object[]","Admins may be unable to access the Exchange admin center"
"System.Object[]","System.Object[]","Post-incident report published","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","26/05/2021 13:30:00","Access","E-Mail and calendar access","","EX258320","Users may have received a Non-Delivery Report (NDR) for external email when forwarded via auto-forwarding feature.","02/06/2021 17:18:18","Incident","System.Object[]","","","26/05/2021 07:30:00","System.Object[]","Can't forward external email via the auto-forwarding feature"
"System.Object[]","System.Object[]","Post-incident report published","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","27/05/2021 21:30:00","Delivery","E-Mail timely delivery","","EX258373","Users may have observed that incoming mail was being routed to their junk folder.","03/06/2021 23:25:44","Incident","System.Object[]","","","26/05/2021 20:00:00","System.Object[]","Inbound email is being routed to the junk folder"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","28/05/2021 23:35:00","Provisioning","Management and Provisioning","","EX258828","Admins may have been unable to view Advanced eDiscovery audit data within the SCC.","29/05/2021 00:07:14","Incident","System.Object[]","","","28/05/2021 17:50:00","System.Object[]","Admins can't view Advanced eDiscovery audit data within the Security and Compliance Center (SCC)"
"System.Object[]","System.Object[]","Post-incident report published","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","02/06/2021 15:21:00","Access","E-Mail and calendar access","","EX259429","Users may have experienced the iOS Outlook Mobile app closing when accessing the calendar.","09/06/2021 13:38:26","Incident","System.Object[]","","","01/06/2021 17:02:00","System.Object[]","Some users may experience the iOS Outlook Mobile app closing when accessing the calendar"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","09/06/2021 16:03:00","Backend Data Processing","Backend Data Processing","","EX259876","Users were unable to permanently delete items from their Deleted Items folder in the Outlook desktop client.","09/06/2021 22:38:13","Incident","System.Object[]","","","19/05/2021 23:43:00","System.Object[]","Users are unable to permanently delete items from their Deleted Items folder in the Outlook desktop client"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","11/06/2021 17:40:00","Delivery","E-Mail timely delivery","","EX261459","Users were intermittently unable to send email messages in Outlook on the web using Internet Explorer 11.","11/06/2021 19:01:09","Incident","System.Object[]","","","08/06/2021 13:00:00","System.Object[]","Users are intermittently unable to send email messages in Outlook on the web using Internet Explorer 11"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","16/06/2021 03:22:00","Access","E-Mail and calendar access","","EX262296","Users may have been unable to sync calendars in Outlook desktop client version 16.49 for Mac.","16/06/2021 03:59:55","Incident","System.Object[]","","","08/05/2021 07:00:00","System.Object[]","Users may be unable to sync calendars in Outlook desktop client version 16.49 for Mac"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","11/07/2021 09:39:00","Access","E-Mail and calendar access","","EX265850","Users may have been unable to view shared calendars within the Outlook client or Outlook on the web services.","11/07/2021 10:40:19","Incident","System.Object[]","","","28/05/2021 00:00:00","System.Object[]","Shared calendars may been unviewable within the Outlook client or Outlook on the web"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","01/07/2021 23:00:00","Access","E-Mail and calendar access","","EX266081","Users may have been intermittently unable to complete searches in Outlook on the web and the Outlook desktop client.","02/07/2021 22:23:11","Incident","System.Object[]","","","22/06/2021 08:00:00","System.Object[]","Some users may be intermittently unable to complete searches in Outlook on the web and Outlook desktop"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","06/07/2021 09:28:00","Access","E-Mail and calendar access","","EX267002","Users may have been unable to perform search queries within the Exchange Online service.","06/07/2021 10:17:07","Incident","System.Object[]","","","06/07/2021 09:05:00","System.Object[]","Some users may have been unable to perform search queries within the Exchange Online service"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","19/07/2021 01:47:00","Access","E-Mail and calendar access","","EX268922","Admins were seeing a blank pane when opening email previews from the Email entity page within Microsoft 365 Defender.","19/07/2021 19:32:40","Incident","System.Object[]","","","07/07/2021 02:52:00","System.Object[]","Admins can't view email previews from the Email entity page in the Microsoft 365 Defender portal"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","19/07/2021 09:00:00","Networking Issues","Networking Issues","","EX271423","Users may have gotten delays of up to 10 seconds when performing searches in Exchange Online via any connection method.","20/07/2021 23:35:09","Incident","System.Object[]","","","15/07/2021 02:30:00","System.Object[]","Users may be seeing delays in search results in Exchange Online"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","20/07/2021 23:40:00","Access","E-Mail and calendar access","","EX271802","Users were unable to manage distribution lists via Outlook on the web.","21/07/2021 03:48:12","Incident","System.Object[]","","","19/07/2021 21:15:00","System.Object[]","Users are unable to manage distribution lists via Outlook on the web"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","25/07/2021 00:00:00","Access","E-Mail and calendar access","","EX272010","Admins were unable to add, remove or update permissions for public folders in the Exchange Admin Center.","28/07/2021 13:29:36","Incident","System.Object[]","","","29/06/2021 08:51:00","System.Object[]","Admins were unable to add, remove or update permissions for public folders in the Exchange Admin Center"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","29/07/2021 17:20:00","Provisioning","Management and Provisioning","","EX274026","Users were receiving an error when attempting to delist blocked IP addresses at https://sender.office.com. ","29/07/2021 18:57:23","Incident","System.Object[]","","","25/07/2021 21:12:00","System.Object[]","Users are receiving an error that prevents delisting blocked IP addresses at https://sender.office.com"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","12/08/2021 01:00:00","Access","E-Mail and calendar access","","EX277384","Users weren't receiving Briefing email.","12/08/2021 03:23:24","Incident","System.Object[]","","","11/08/2021 15:20:00","System.Object[]","Users aren't receiving Briefing email"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","30/08/2021 10:37:00","Access","E-Mail and calendar access","","EX280059","Users may have been unable to access their mailbox via Outlook on the web.","30/08/2021 11:04:06","Incident","System.Object[]","","","27/07/2021 12:00:00","System.Object[]","Some users may have been unable to access their mailbox via Outlook on the web"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","09/09/2021 18:52:00","Access","E-Mail and calendar access","","EX280152","Users were missing some settings within Outlook on the web, and admins were unable to access Exchange Online PowerShell.","09/09/2021 19:23:51","Incident","System.Object[]","","","23/08/2021 12:09:00","System.Object[]","Some users are missing some settings within Outlook on the web, and some admins can't access Exchange Online PowerShell"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","13/09/2021 16:15:00","Provisioning","Management and Provisioning","","EX280618","Admins were unable to see call records between August 18, 2021 and August 23, 2021 in the SCC.","14/09/2021 20:11:14","Incident","System.Object[]",,"Sev2","18/08/2021 20:30:00","System.Object[]","Admins are unable to see call records between August 18, 2021 and August 23, 2021 in the Security and Compliance Center"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","30/08/2021 22:00:00","Access","E-Mail and calendar access","","EX281692","Users' all day events showed as spanning two days instead of one in Outlook on the web calendar's month and week views.","31/08/2021 03:28:47","Incident","System.Object[]","","","27/08/2021 05:04:00","System.Object[]","Users' all day events may show as spanning two days instead of only one in Outlook on the web calendar"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","30/08/2021 20:00:00","Provisioning","Management and Provisioning","","EX281865","Users were unable to submit elevated access requests via the Exchange Management Shell.","31/08/2021 17:17:57","Incident","System.Object[]","","","24/08/2021 16:18:00","System.Object[]","Users are unable to submit elevated access requests via the Exchange Management Shell"
"System.Object[]","System.Object[]","Post-incident report published","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","31/08/2021 18:45:00","Delivery","E-Mail timely delivery","","EX282101","Users may have experienced delays of up to two hours when sending email from on-premises to Exchange Online. ","07/09/2021 18:27:36","Incident","System.Object[]","","","31/08/2021 14:40:00","System.Object[]","Users may experience delays of up to two hours when sending email from on-premises to Exchange Online"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","04/09/2021 15:46:00","Provisioning","Management and Provisioning","","EX283033","Admins weren't seeing up to date or accurate information for mail flow status reports within the EAC.","04/09/2021 16:22:50","Incident","System.Object[]","","","02/09/2021 08:00:00","System.Object[]","Admins not seeing up to date or accurate information for mail flow status reports within the Exchange admin center (EAC)"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","08/10/2021 13:30:00","Access","E-Mail and calendar access","","EX284109","Users were unable to add shared mailboxes via the Outlook mobile app.","08/10/2021 13:57:14","Incident","System.Object[]",,"Sev2","24/08/2021 07:00:00","System.Object[]","Users were unable to add shared mailboxes via the Outlook mobile app"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","20/09/2021 21:06:00","Access","E-Mail and calendar access","","EX284902","Admins were unable to create Data Subject Requests or User Data Search cases within the Microsoft 365 compliance center.","20/09/2021 22:26:44","Incident","System.Object[]",,"Sev2","13/09/2021 08:41:00","System.Object[]","Admins can't create Data Subject Requests or User Data Search cases within the Microsoft 365 compliance center"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","01/10/2021 21:00:00","Backend Data Processing","Backend Data Processing","","EX285534","Users aren't receiving notifications through the Outlook on the web Activity header icon.","01/10/2021 21:34:16","Incident","System.Object[]",,"Sev2","24/08/2021 07:00:00","System.Object[]","Users aren't receiving notifications through the Outlook on the web Activity header icon"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","23/09/2021 08:41:00","Access","E-Mail and calendar access","","EX286304","Users of the iOS Outlook mobile app aren’t receiving push notifications after getting email messages.","25/09/2021 00:31:33","Incident","System.Object[]",,"Sev2","18/09/2021 23:00:00","System.Object[]","Users of the iOS Outlook mobile app aren’t getting push notifications after receiving email messages"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","29/09/2021 18:57:00","Access","E-Mail and calendar access","","EX287756","Users couldn't open PDF attachments when using Outlook on the web.","29/09/2021 20:07:17","Incident","System.Object[]",,"Sev2","23/09/2021 02:00:00","System.Object[]","Users can't open PDF attachments when using Outlook on the web"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","05/10/2021 05:30:00","Access","E-Mail and calendar access","","EX289328","Users may have been unable to access Outlook on the web.","05/10/2021 18:32:29","Incident","System.Object[]",,"Sev2","04/10/2021 22:42:00","System.Object[]","Users may have been unable to access Outlook on the web"
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Advisory","11/10/2021 23:03:00","Provisioning","Management and Provisioning","","EX290151","Admins were unable to access audit events for delegate access via the SCC.","11/10/2021 23:21:09","Incident","System.Object[]",,"Sev2","28/08/2021 00:00:00","System.Object[]","Some admins are unable to access audit events for delegate access via the Security & Compliance Center (SCC)."
"System.Object[]","System.Object[]","Service restored","Exchange","Exchange Online",,"System.Object[]","0",,"Incident","15/10/2021 06:39:00","Delivery","E-Mail timely delivery","","EX291497","Users were unable to send email or receive using iOS or Android devices that leverage EAS.","15/10/2021 17:02:19","Incident","System.Object[]",,"Sev2","27/09/2021 00:00:00","System.Object[]","Some users are unable to send email or receive using their Exchange ActiveSync (EAS) synced iOS or Android device"
"System.Object[]","System.Object[]","Service restored","OrgLiveID","Identity Service",,"System.Object[]","0",,"Advisory","11/05/2021 01:05:00","administration","Administration","","IS255520","Users may notice delays receiving alerts emails from Identity protection.","11/05/2021 01:17:35","Incident","System.Object[]","","","10/05/2021 16:00:00","System.Object[]","Alert emails from Identity protection may be delayed"
"System.Object[]","System.Object[]","Service restored","Intune","Microsoft Intune",,"System.Object[]","0",,"Advisory","20/04/2021 18:16:00","Intune","Microsoft Intune","","IT251543","Admins may have been unable to update certain device policies.","20/04/2021 19:50:27","Incident","System.Object[]","","","04/04/2021 03:00:00","System.Object[]","Admins can't update certain device policies"
"System.Object[]","System.Object[]","Service restored","Intune","Microsoft Intune",,"System.Object[]","0",,"Advisory","20/04/2021 23:30:00","Intune","Microsoft Intune","","IT251711","Users were unable to launch Outlook mobile for iOS due to crashes on sign-in.","21/04/2021 01:26:31","Incident","System.Object[]","","","20/04/2021 08:00:00","System.Object[]","Users are unable to launch Outlook mobile for iOS due to crashes on sign-in"
